GSWA_sample_id,GSWA_geochron_id,analytical_spot_id,age_Ma,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,groupno,P2O5_pct,SiO2_pct,Zr_ppm,oscillatory_zonation,sector_zonation,homogenous_zonation
88411,88411.1,,1795,8742.12,105.5,410.09,67.62,169.5,0.97,9016.55,0.65,0.39,0.62,2.51,63.94,163.32,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,13319.8,130.23,546.38,76.84,228.65,0.95,14052.17,0.56,0.32,0.57,2.98,73.26,219.24,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,23288.91,172.2,623.63,124.25,242.35,0.99,23619.19,0.75,0.5,0.71,1.95,120,236.04,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,17272.02,148.3,551.18,102.9,218.15,0.98,17589.54,0.71,0.46,0.68,2.12,98.53,216.29,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,19759.51,158.61,611.43,100.25,256.18,0.97,20300.41,0.66,0.38,0.62,2.56,94.52,245.99,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,15301.5,139.58,557.71,83.91,240.39,0.97,15828.03,0.62,0.34,0.58,2.86,79.44,230.63,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,19965.34,159.44,622.84,103.5,252.04,0.97,20651.43,0.65,0.4,0.63,2.44,99.54,239.22,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,19812.17,158.83,568.28,127.84,201.34,0.96,20582.83,0.77,0.62,0.79,1.57,135.67,204.18,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,20574.85,161.85,614.88,109.21,244.38,0.98,21085.43,0.68,0.44,0.66,2.24,103.99,242.8,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,12569.88,126.51,516.37,73.16,223.1,0.97,12938.46,0.59,0.32,0.57,3.05,70.12,212.59,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,13867.08,132.88,464.29,107.28,165.91,0.98,14120.78,0.81,0.64,0.8,1.55,104.03,166.4,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6369.51,90.06,339.17,58.75,139.93,0.97,6556.19,0.7,0.41,0.64,2.38,57.29,135.02,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11275.88,119.82,449.21,78.47,184.41,0.98,11464.16,0.7,0.42,0.65,2.35,75.79,181.27,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9517.56,110.08,421.8,67.69,181.98,0.98,9724.99,0.67,0.37,0.6,2.69,64.42,176.2,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6570.55,91.47,352.67,55.12,154.2,0.98,6704.58,0.66,0.35,0.59,2.8,51.79,148.56,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,19.1,1795,11034.95,118.53,429.79,83.49,169.3,0.98,11228.01,0.75,0.49,0.7,2.03,82.11,173.13,180,117,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7374.71,96.9,360.3,65.05,147.27,0.98,7534.27,0.71,0.43,0.66,2.26,61.89,144.27,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,13514.46,131.18,489.93,88.91,197.86,0.98,13772.94,0.71,0.44,0.66,2.23,83.45,195.25,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,9549.47,110.27,424.63,68.24,181.61,0.97,9817.53,0.67,0.37,0.61,2.66,64.98,172.25,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,18.1,1795,7921.99,100.43,347.85,77.47,130.9,0.98,8043.26,0.82,0.59,0.77,1.69,74.53,132.93,122,102,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11432.24,120.65,419.25,92.16,158.77,0.99,11594.99,0.82,0.58,0.76,1.72,88.42,160.92,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,6067.94,87.9,336.59,53.9,146.01,0.98,6184.42,0.67,0.36,0.6,2.71,49.26,138.38,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,21.1,1795,13725.07,132.19,501.57,84.32,209.13,0.98,13969.2,0.69,0.4,0.63,2.48,81.19,208.5,282,269,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7743.29,99.29,352.72,73.37,135.46,0.98,7904.44,0.78,0.54,0.73,1.85,69.47,131.67,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11746.57,122.3,442.42,88.7,171.1,0.98,11973.14,0.75,0.51,0.71,1.93,87.16,174.44,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,11306.19,119.98,465.72,73.15,200.03,0.97,11690.73,0.66,0.36,0.6,2.73,71.58,193.82,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,17.1,1795,4812.23,78.28,364.38,35.81,174.69,0.95,5043.59,0.46,0.2,0.45,4.88,36.29,165.45,296,172,I,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,7628.41,98.55,418.84,54.41,182.06,0.95,8016.13,0.55,0.29,0.54,3.35,56.07,180.67,,,,0.168,66.718,160.9,1,0,0
88411,88411.1,,1795,4659.06,77.02,312.37,42.77,140.62,0.98,4764.37,0.6,0.3,0.55,3.29,40.42,134.11,,,,0.168,66.718,160.9,1,0,0
