,GSWA_sample_id,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,SiO2_pct,oscillatory_zonation,sector_zonation,homogenous_zonation,bin
148,143445,3098.6,62.81,248.34,41.7,98.62,0.97,3185.26,0.63,0.41,0.64,2.36,44.63,101.1,449.6183282,532.0322495,49.199,1,1,1,50.0
149,143445,4885.79,78.87,270.1,67.42,92.71,0.98,4986.8,0.84,0.72,0.85,1.38,71.21,95.61,454.8570735,459.6481926,49.199,1,1,1,50.0
150,143445,5720.84,85.35,297.22,71.59,102.57,0.97,5868.92,0.81,0.69,0.83,1.43,73.05,103.16,294.0436319,281.9549843,49.199,1,1,1,50.0
151,143445,14483.58,135.8,476.73,124.71,152.3,0.98,14790.55,0.8,0.8,0.89,1.22,123.61,158.75,243.9967445,168.8093954,49.199,1,1,1,50.0
152,143445,4201.68,73.14,255.58,58.16,92.51,0.98,4281.45,0.81,0.63,0.79,1.59,63.75,96.36,288.1477621,270.5571045,49.199,1,1,1,50.0
153,143445,9166.67,108.03,386.13,89.36,132.57,0.97,9463.38,0.77,0.66,0.81,1.48,110.88,144.87,360.7082722,418.3599956,49.199,1,1,1,50.0
154,143445,11321.17,120.06,439.99,101.07,147.51,0.96,11757.92,0.73,0.66,0.81,1.46,117.89,165.71,457.9269505,554.5209132,49.199,1,1,1,50.0
155,143445,14326.98,135.06,525.86,97.51,193.05,0.94,15177.79,0.65,0.49,0.7,1.98,95.34,193.16,561.0704489,663.9215022,49.199,1,1,1,50.0
156,143445,10666.52,116.54,476.6,69.81,197.28,0.94,11301.37,0.59,0.35,0.59,2.83,74.36,196.3,775.0390304,843.20088,49.199,1,1,1,50.0
157,143445,13376.11,130.5,515.03,84.8,202.47,0.96,13897.9,0.63,0.42,0.64,2.39,90.23,209.58,675.5278657,970.9352277,49.199,1,1,1,50.0
158,143445,7619.99,98.5,380.32,67.28,146.04,0.97,7820.11,0.66,0.45,0.67,2.17,67.02,151.13,377.4386796,440.1960127,49.199,1,1,1,50.0
159,143445,9592.97,110.52,380.35,99.93,122.92,0.98,9739.39,0.83,0.81,0.9,1.23,108.6,127.55,104.9787295,61.97779902,49.199,1,1,1,50.0
160,143445,11681.84,121.96,454.47,95.96,161.41,0.97,12032.34,0.71,0.57,0.76,1.68,104.21,175.44,642.0602197,544.1344352,49.199,1,1,1,50.0
